City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Sungaipenuh,-2.0833,101.3833,64.26,96,100,0.4,ID,2021-03-30 19:06:28
140,Tiarei,-17.5333,-149.3333,84.2,65,20,3.44,PF,2021-03-30 19:06:28
141,Juegang,32.3174,121.1855,55.0,71,100,1.01,CN,2021-03-30 19:06:28
142,Kismayo,-0.3582,42.5454,80.49,77,2,13.22,SO,2021-03-30 19:06:28
143,Yahotyn,50.2798,31.7625,41.0,52,0,6.71,UA,2021-03-30 19:06:29
144,Yerbogachen,61.2767,108.0108,8.71,97,100,4.38,RU,2021-03-30 19:06:29
145,Bosaso,11.2842,49.1816,79.61,59,100,2.82,SO,2021-03-30 19:06:29
146,Meadow Lake,34.8014,-106.5436,72.0,10,20,31.07,US,2021-03-30 19:06:29
147,Aitape,-3.1374,142.3475,77.59,87,100,3.6,PG,2021-03-30 19:06:30
148,Thunder Bay,48.4001,-89.3168,39.2,41,75,23.02,CA,2021-03-30 19:06:30
149,La Ronge,55.1001,-105.2842,12.2,52,90,8.05,CA,2021-03-30 19:06:30
150,Avarua,-21.2078,-159.775,80.6,83,40,6.91,CK,2021-03-30 19:06:30
151,Fortuna,40.5982,-124.1573,55.99,66,1,5.75,US,2021-03-30 19:06:30
152,Udachnyy,66.4167,112.4,6.89,97,100,8.3,RU,2021-03-30 19:06:30
153,Praia Da Vitoria,38.7333,-27.0667,64.4,77,40,13.94,PT,2021-03-30 19:06:30
154,Hovd,48.0056,91.6419,28.15,39,4,6.51,MN,2021-03-30 19:06:31
155,Nombre De Dios,23.85,-104.2333,80.6,7,1,12.66,MX,2021-03-30 19:06:31
156,Berlevag,70.8578,29.0864,35.6,87,75,24.16,NO,2021-03-30 19:06:31
157,Nyandoma,61.669,40.1991,35.67,97,100,11.36,RU,2021-03-30 19:06:31
158,Thompson,55.7435,-97.8558,5.0,51,75,19.57,CA,2021-03-30 19:06:31
159,Guarapari,-20.6667,-40.4975,88.0,65,20,16.11,BR,2021-03-30 19:06:31
160,Tasiilaq,65.6145,-37.6368,24.8,50,75,1.14,GL,2021-03-30 19:06:31
161,Torbay,47.6666,-52.7314,32.0,59,75,26.46,CA,2021-03-30 19:06:31
162,Anadyr,64.75,177.4833,-4.0,77,0,4.47,RU,2021-03-30 19:06:32
163,Maldonado,-34.6667,-54.9167,71.6,64,40,13.8,UY,2021-03-30 19:06:32
164,Hay River,60.8156,-115.7999,12.2,57,79,12.66,CA,2021-03-30 19:06:32
165,Te Anau,-45.4167,167.7167,51.39,94,44,1.12,NZ,2021-03-30 19:06:32
166,Sorkjosen,69.8,20.9333,39.2,75,40,10.36,NO,2021-03-30 19:06:33
167,Guerrero Negro,27.9769,-114.0611,72.77,38,2,9.73,MX,2021-03-30 19:06:34
168,Ngaoundere,7.3167,13.5833,73.56,19,63,4.79,CM,2021-03-30 19:06:34
169,Lavrentiya,65.5833,-171.0,4.26,77,100,6.42,RU,2021-03-30 19:06:34
170,Hofn,64.2539,-15.2082,34.74,54,0,5.01,IS,2021-03-30 19:06:34
171,Pathardi,19.1667,75.1833,80.65,18,34,11.5,IN,2021-03-30 19:06:34
172,Luderitz,-26.6481,15.1594,65.01,75,0,9.98,NA,2021-03-30 19:06:34
173,Salekhard,66.53,66.6019,7.9,95,100,9.01,RU,2021-03-30 19:06:34
174,Faanui,-16.4833,-151.75,81.16,74,41,5.03,PF,2021-03-30 19:06:35
175,Narsaq,60.9167,-46.05,44.6,39,75,11.5,GL,2021-03-30 19:06:35
176,Oistins,13.0667,-59.5333,82.4,57,40,24.16,BB,2021-03-30 19:06:35
177,Oranjemund,-28.55,16.4333,62.01,91,0,5.99,NA,2021-03-30 19:06:35
178,Airai,-8.9266,125.4092,59.5,98,99,1.99,TL,2021-03-30 19:06:35
179,Jumla,29.2747,82.1838,45.36,60,11,5.21,NP,2021-03-30 19:06:35
180,Amapa,1.0,-52.0,78.84,94,23,5.1,BR,2021-03-30 19:06:35
181,Wencheng,33.0559,113.7978,54.45,84,100,7.43,CN,2021-03-30 19:06:35
182,Izvestkovyy,48.9833,131.55,25.18,96,21,4.0,RU,2021-03-30 19:06:36
183,Severo-Kurilsk,50.6789,156.125,34.09,95,72,7.18,RU,2021-03-30 19:06:36
184,Concordia,-31.393,-58.0209,77.0,53,40,10.36,AR,2021-03-30 19:05:04
185,Ilulissat,69.2167,-51.1,28.4,74,75,5.75,GL,2021-03-30 19:06:36
186,Port Lincoln,-34.7333,135.8667,65.16,77,5,7.52,AU,2021-03-30 19:06:36
187,North Bend,43.4065,-124.2243,55.0,50,1,6.91,US,2021-03-30 19:06:36
188,Iqaluit,63.7506,-68.5145,-4.0,71,20,25.32,CA,2021-03-30 19:06:37
189,Barrow,71.2906,-156.7887,-7.6,71,1,27.63,US,2021-03-30 19:06:37
190,Dharchula,29.85,80.5333,60.78,40,64,7.99,IN,2021-03-30 19:06:06
191,Ossora,59.2353,163.0719,21.45,95,100,8.97,RU,2021-03-30 19:06:38
192,Nanortalik,60.1432,-45.2371,35.46,97,100,23.55,GL,2021-03-30 19:06:38
193,Provideniya,64.3833,-173.3,0.84,86,56,8.28,RU,2021-03-30 19:06:38
194,Lake City,30.1897,-82.6393,80.01,78,90,6.91,US,2021-03-30 19:06:38
195,Vostok,46.4856,135.8833,30.94,98,100,3.62,RU,2021-03-30 19:06:38
196,Saint-Augustin,51.226,-58.6502,23.7,68,70,15.64,CA,2021-03-30 19:06:38
197,Dudinka,69.4058,86.1778,-15.11,87,7,16.35,RU,2021-03-30 19:06:39
198,Tukrah,32.5341,20.5791,56.57,71,35,11.23,LY,2021-03-30 19:06:39
199,Dolores,-36.3132,-57.6792,69.82,55,0,4.03,AR,2021-03-30 19:06:39
200,Hithadhoo,-0.6,73.0833,83.88,73,29,16.93,MV,2021-03-30 19:06:39
201,Hanzhong,33.0728,107.0303,54.05,86,5,1.77,CN,2021-03-30 19:06:39
202,Taoudenni,22.6783,-3.9836,89.65,5,58,10.0,ML,2021-03-30 19:06:39
203,Lumding,25.7535,93.1732,63.93,73,75,3.33,IN,2021-03-30 19:06:39
204,Lagoa,39.05,-27.9833,58.46,75,94,3.49,PT,2021-03-30 19:06:40
