City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
174,Nikolskoye,RU,59.7035,30.7861,39.0,69,0,8.95,clear sky
175,Vostok,RU,46.4856,135.8833,35.37,54,100,8.52,overcast clouds
176,Tazovskiy,RU,67.4667,78.7,18.39,86,73,7.72,broken clouds
177,Magadi,IN,12.9667,77.2333,90.0,35,20,4.61,few clouds
178,Vigrestad,NO,58.5667,5.7,37.0,97,98,11.99,overcast clouds
179,Saint-Felicien,CA,48.6501,-72.4491,44.6,81,75,3.44,broken clouds
180,San Juan,AR,-31.5375,-68.5364,66.22,66,65,10.16,broken clouds
181,Saint Anthony,US,45.0205,-93.218,48.2,87,20,3.44,few clouds
182,Leningradskiy,RU,69.3833,178.4167,-13.61,97,9,4.52,clear sky
183,Marienburg,PL,54.0359,19.0266,43.0,57,97,18.66,overcast clouds
184,Jelenia Gora,PL,50.8997,15.729,36.0,54,85,9.26,overcast clouds
185,Bengkulu,ID,-3.8004,102.2655,85.78,67,14,13.82,few clouds
186,Nome,US,64.5011,-165.4064,-7.6,64,1,5.75,clear sky
187,Nyanguge,TZ,-2.55,33.2,75.2,69,20,11.5,light rain
188,Bloomfield,US,40.8068,-74.1854,53.6,66,1,3.53,clear sky
189,Cascais,PT,38.6979,-9.4215,61.0,88,40,6.91,scattered clouds
190,Nagua,DO,19.3832,-69.8474,68.0,97,100,4.72,overcast clouds
191,Nantucket,US,41.2835,-70.0995,42.8,100,90,4.61,fog
192,Da Nang,VN,16.0678,108.2208,86.0,66,20,10.36,few clouds
193,Gondanglegi,ID,-7.7479,112.0132,86.54,69,35,5.99,scattered clouds
194,Algarrobo,CO,10.1869,-74.5753,76.69,89,100,8.14,overcast clouds
195,Marawi,PH,7.9986,124.2928,84.0,75,91,7.0,light rain
196,Luganville,VU,-15.5333,167.1667,80.83,81,100,4.81,overcast clouds
197,Mehamn,NO,71.0357,27.8492,32.0,80,40,11.5,light snow
198,Tevaitoa,PF,-16.7833,-151.5,81.9,75,89,7.67,overcast clouds
199,Neuquen,AR,-38.9516,-68.0591,54.81,49,1,9.82,clear sky
200,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,93,90,2.3,overcast clouds
201,Amarante Do Maranhao,BR,-5.5667,-46.7422,70.41,85,99,2.91,overcast clouds
202,Hambantota,LK,6.1241,81.1185,89.6,62,40,5.75,scattered clouds
203,Ustka,PL,54.5805,16.8619,39.67,65,100,23.53,overcast clouds
204,Ulaangom,MN,49.9811,92.0667,46.29,40,99,9.17,overcast clouds
205,Quatre Cocos,MU,-20.2078,57.7625,82.99,83,40,17.27,light rain
206,Kavieng,PG,-2.5744,150.7967,82.38,75,100,16.13,overcast clouds
207,Veraval,IN,20.9,70.3667,88.99,46,0,13.06,clear sky
208,Maua,BR,-23.6678,-46.4614,63.0,82,0,3.44,clear sky
209,Son La,VN,21.3167,103.9,81.39,58,32,5.79,scattered clouds
210,Dali,CN,25.7,100.1833,75.16,26,62,8.46,broken clouds
211,Zhaotong,CN,27.3167,103.7167,59.7,66,95,7.87,overcast clouds
212,Mezen,RU,65.8522,44.24,34.97,80,100,16.33,overcast clouds
213,Labuhan,ID,-6.8844,112.2051,85.19,73,23,10.38,few clouds
214,Camana,PE,-16.6228,-72.7111,69.17,87,100,6.26,overcast clouds
215,Gornopravdinsk,RU,60.05,69.9,37.63,92,100,8.43,overcast clouds
216,Tigil,RU,57.8,158.6667,27.73,80,100,13.82,overcast clouds
217,Faanui,PF,-16.4833,-151.75,82.06,70,55,7.96,broken clouds
218,Alyangula,AU,-13.8483,136.4192,86.0,62,40,6.91,scattered clouds
219,Kuala Terengganu,MY,5.3302,103.1408,89.6,62,20,9.22,few clouds
220,Bichena,ET,10.45,38.2,70.41,13,6,6.31,clear sky
221,Tyrma,RU,50.0833,132.1667,45.03,33,0,6.06,clear sky
222,Alexandria,EG,31.2156,29.9553,64.17,64,9,13.15,clear sky
223,Matara,LK,5.9485,80.5353,86.81,60,31,9.64,scattered clouds
224,Torrijos,ES,39.9819,-4.2835,48.2,93,90,4.61,overcast clouds
225,Port-Gentil,GA,-0.7193,8.7815,78.8,100,90,1.14,heavy intensity rain
226,Sile,TR,41.1754,29.6133,45.0,81,75,6.91,broken clouds
227,Kemin,KG,42.7846,75.6892,57.7,40,2,2.44,clear sky
228,Chumikan,RU,54.7183,135.315,34.14,80,12,14.03,few clouds
229,Ulladulla,AU,-35.35,150.4667,66.99,77,90,17.27,overcast clouds
230,Nuevo Progreso,MX,23.1667,-97.95,75.99,71,100,1.01,overcast clouds
231,Abu Dhabi,AE,24.4667,54.3667,82.4,57,0,2.3,clear sky
